"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Dominica","DMA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.4400024414062","","","","","","","","","","","","","","","","","","","","79.7306976318359","","","",
"Denmark","DNK","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","98.8682861328125","98.7779312133789","98.735237121582","98.7170486450195","98.7205810546875","98.6774673461914","98.7528457641602","98.7639465332031","98.7071151733398","98.7256927490234","98.8004837036133","98.9040374755859","98.9231033325195","","",
"Dominican Republic","DOM","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","18.2999992370605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.7999992370605","56.0200004577637","57.7000007629395","59.3400001525879","61.4700012207031","60.4900016784668","61.9900016784668","63.7400016784668","62.3699989318848","64.0999984741211","64.9899978637695","66.2600021362305","66.8499984741211","67.3099975585938","69.0800018310547","69.5100021362305","70.2600021362305","70.9599990844727","71.9499969482422","73.4899978637695","73.120002746582","74.2600021362305","74.3000030517578","67.5515289306641","",
"Algeria","DZA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","2.52999997138977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.5900001525879","","47.2999992370605","","","45.0900001525879","","","","","","","","64.0072479248047","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","68.0800018310547","","","","","","","","57.5999984741211","","","","","","","","80.370002746582","","","","","","","","","","","73.1100006103516","","72.7799987792969","","74.3399963378906","74.5599975585938","74.6100006103516","74.9899978637695","74.7399978637695","75.2699966430664","76.8399963378906","77.4700012207031","79.25","81.1100006103516","82.6600036621094","82.8600006103516","82.870002746582","82.5699996948242","82.9400024414062","83.3399963378906","83.9800033569336","83.8199996948242","","",
"Egypt, Arab Rep.","EGY","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.4099998474121","","","","52.834056854248","53.1976890563965","54.793025970459","53.7680931091309","54.2448120117188","57.9744682312012","60.7817344665527","60.2567596435547","63.2128257751465","64.9921798706055","66.1075897216797","66.6533813476562","66.6084289550781","","",
"Euro area","EMU","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
